gene_id,SRR5986737,SRR5986738,SRR5986739,SRR5986740,SRR5986741
gene-LOC112017851|LOC112017851,0,0,3,1,0
gene-LOC112017884|LOC112017884,553,124,931,336,58
gene-LOC112017887|LOC112017887,692,101,944,501,17
gene-LOC112017880|LOC112017880,842,1387,333,1201,0
gene-LOC112017827|LOC112017827,41823,23588,9248,32543,1883
gene-LOC112017830|LOC112017830,380088,295141,265243,629207,374
gene-LOC112017829|LOC112017829,57147,39045,27070,96973,4097
gene-LOC112017831|LOC112017831,0,0,20,0,258
gene-LOC112017835|LOC112017835,116021,205889,105294,209934,13014
gene-LOC112017867|LOC112017867,19190,22854,5602,28381,5839
gene-LOC112017872|LOC112017872,23,192,79,71,4
gene-LOC112017861|LOC112017861,97200,91636,54361,77939,18590
gene-LOC136065484|LOC136065484,1,3,0,4,0
gene-LOC112019042|LOC112019042,686,9499,525,2330,0
gene-LOC112017864|LOC112017864,92093,171080,79596,177596,4434
gene-LOC112007313|LOC112007313,79993,16756,5593,31671,19887
gene-LOC136066375|LOC136066375,4207,467,480,2115,85
gene-LOC136066378|LOC136066378,1215,179,136,570,13
gene-LOC112007333|LOC112007333,0,0,778,0,6259
gene-LOC112007285|LOC112007285,47570,74948,77565,70030,23744
gene-LOC112007295|LOC112007295,70588,84726,38031,98881,45594
gene-LOC112007307|LOC112007307,15652,12413,6762,31539,8248
gene-LOC112007288|LOC112007288,13043,16930,23276,18631,5407
gene-LOC112026495|LOC112026495,9308,9197,3440,5550,125
gene-LOC112028245|LOC112028245,0,0,319,0,0
gene-LOC112028246|LOC112028246,12587,4186,6996,4614,4
gene-LOC136065550|LOC136065550,0,2,18,3,0
gene-LOC112028232|LOC112028232,7442,6313,7397,5967,314
gene-LOC112023321|LOC112023321,4151,17341,3711,4371,5764
gene-LOC136066382|LOC136066382,0,0,0,0,0
gene-LOC111989596|LOC111989596,303,157,1178,43,159
gene-LOC136066698|LOC136066698,3,0,4,0,1
gene-LOC111989595|LOC111989595,4519,2388,5506,512,931
gene-LOC111989594|LOC111989594,2479,1912,968,1975,411
gene-LOC111989586|LOC111989586,1972,2405,402,2289,51
gene-LOC111989578|LOC111989578,0,112,212,0,0
gene-LOC111989593|LOC111989593,511,929,79,844,196
gene-LOC111989577|LOC111989577,9271,14184,3525,12321,2269
gene-LOC111989585|LOC111989585,25061,211921,2680,12834,1702
gene-LOC112015607|LOC112015607,4115,45539,12328,5552,9
gene-LOC112024384|LOC112024384,2982,4023,137,3857,948
gene-LOC136066402|LOC136066402,0,437,5,0,0
gene-LOC112024401|LOC112024401,14277,4913,449,72,17
gene-LOC112024379|LOC112024379,2752,31931,1722,1905,99
gene-LOC112031491|LOC112031491,17894,13329,10346,34857,366
gene-LOC112031486|LOC112031486,20920,30056,2372,15591,5
gene-LOC112003370|LOC112003370,21,134,22,26,122
gene-LOC136065706|LOC136065706,2752,4217,2025,2468,1483
gene-LOC112038192|LOC112038192,0,0,0,0,0
gene-LOC112038769|LOC112038769,94818,22950,1905,90643,0
gene-LOC112038771|LOC112038771,5763,10918,3798,4273,1611
gene-LOC112038758|LOC112038758,0,0,0,0,0
gene-LOC136066710|LOC136066710,0,2,0,4,0
gene-LOC136066437|LOC136066437,345,5948,689,820,0
gene-LOC136066445|LOC136066445,55,949,86,120,0
gene-LOC112038772|LOC112038772,166262,130928,28864,85992,6661
gene-LOC136066712|LOC136066712,62,51,104,88,8
gene-LOC112015224|LOC112015224,1291,2970,20908,253,0
gene-LOC112020042|LOC112020042,25235,44420,31281,25757,5923
gene-LOC136066455|LOC136066455,2058,4122,4567,1461,1985
gene-LOC136066456|LOC136066456,60,136,3184,33,8
gene-LOC111991035|LOC111991035,57805,122249,147663,35846,30853
gene-LOC111991038|LOC111991038,304,14251,1167,271,0
gene-LOC111991042|LOC111991042,15334,32306,71844,17470,5989
gene-LOC136066467|LOC136066467,3598,2965,491,4712,109
gene-LOC111983147|LOC111983147,8,3058,0,0,0
gene-LOC111995743|LOC111995743,1044,1815,631,2415,2875
gene-LOC136066030|LOC136066030,0,0,0,0,0
gene-LOC136066481|LOC136066481,10416,1487,2422,3999,708635
gene-LOC111995741|LOC111995741,2033,3377,5233,4450,629
gene-LOC136066187|LOC136066187,6,0,50,26,0
gene-LOC112002225|LOC112002225,4,16,27,9,0
gene-LOC112002226|LOC112002226,2,13,14,7,2
gene-LOC111983140|LOC111983140,2364,6838,2324,3291,9533
gene-LOC111983139|LOC111983139,17895,7375,16463,17597,3753
gene-LOC112002215|LOC112002215,29226,37302,11343,41013,4869
gene-LOC136066247|LOC136066247,19,2,8,143,0
gene-LOC112002198|LOC112002198,21430,15235,27441,8347,5263
gene-LOC112006633|LOC112006633,0,8,0,0,0
gene-LOC112006695|LOC112006695,2227,961,153,2097,10
gene-LOC112006634|LOC112006634,17,18,4,17,5
gene-LOC112000835|LOC112000835,0,1291,40,78,0
gene-LOC112000827|LOC112000827,2266,5725,1705,3269,78
gene-LOC112000837|LOC112000837,35673,35694,4759,46054,13744
gene-LOC136066510|LOC136066510,36,8047,316,201,0
gene-LOC111984700|LOC111984700,94,16959,792,368,0
gene-LOC112000826|LOC112000826,35584,44073,33726,39435,1398
gene-LOC112026043|LOC112026043,706,29,33472,1967,0
gene-LOC112007230|LOC112007230,0,0,2887,1,0
gene-LOC112007256|LOC112007256,778,155,66413,41,6
gene-LOC112037280|LOC112037280,1918,782,224999,146,0
gene-LOC112026042|LOC112026042,56662,5799,636220,1493,37
gene-LOC112026046|LOC112026046,28720,40517,33513,15664,12765
gene-LOC112026045|LOC112026045,3241,5653,3329,2555,205
gene-LOC112033829|LOC112033829,3115,26,20,357,902
gene-LOC112020634|LOC112020634,219,341,191,143,2797
gene-LOC112020640|LOC112020640,3,3,19,1,25
gene-LOC112037825|LOC112037825,519,1116,25,2881,711
gene-LOC112020644|LOC112020644,4485,3643,603,7564,25
gene-LOC112037834|LOC112037834,214,377,0,1043,0
gene-LOC136066533|LOC136066533,220,376,37,1164,68
gene-LOC112037833|LOC112037833,0,0,0,0,0
gene-LOC112037832|LOC112037832,0,0,0,0,0
gene-LOC112037840|LOC112037840,897,1452,411,1410,70
gene-LOC112037843|LOC112037843,741,1093,323,926,247
gene-LOC112037841|LOC112037841,378,495,338,455,0
gene-LOC112037839|LOC112037839,1787,3080,17212,528,103933
gene-LOC136061003|LOC136061003,475,53,58,307,4898
gene-LOC111989889|LOC111989889,35,3241,16,91,0
gene-LOC112037842|LOC112037842,752,1996,170,2662,130
gene-LOC112009533|LOC112009533,2,138,2,3,0
gene-LOC136066718|LOC136066718,86,445,502,78,248
gene-LOC111994207|LOC111994207,199,45,2628,101,0
gene-LOC112039014|LOC112039014,38162,12701,15849,10264,146
gene-LOC136066264|LOC136066264,26,66,3,145,1163
gene-LOC136060990|LOC136060990,17932,26710,18899,11690,8624
gene-LOC112037934|LOC112037934,52251,139995,1661,142803,2
gene-LOC112037937|LOC112037937,13626,23942,5568,16914,756
gene-LOC111999254|LOC111999254,520,343,580,1295,18
gene-LOC112017761|LOC112017761,9606,4204,190,6657,0
gene-LOC111999272|LOC111999272,10140,8365,8165,8050,7895
gene-LOC111999235|LOC111999235,23861,27903,8135,21934,937
gene-LOC111999262|LOC111999262,15900,6896,2982,6789,6304
gene-LOC111999274|LOC111999274,12858,20883,12992,9017,765
gene-LOC136066280|LOC136066280,2088,3209,1833,1541,106
gene-LOC111999233|LOC111999233,2200,6439,21851,330,7
gene-LOC111999275|LOC111999275,22,16,536,9,1560
gene-LOC111999271|LOC111999271,179,404,22,232,1700
gene-LOC136066604|LOC136066604,96,131,4,60,220
gene-LOC111984090|LOC111984090,32200,11760,15129,12169,21354
gene-LOC111999270|LOC111999270,1213,12019,1507,1533,43
gene-LOC111999239|LOC111999239,14859,22074,23699,27937,2709
gene-LOC111999265|LOC111999265,3646,7237,3064,5850,16
gene-LOC111999241|LOC111999241,29731,33749,93631,22154,11799
gene-LOC136066616|LOC136066616,5766,9866,6991,6920,775
gene-LOC111999243|LOC111999243,12904,20578,13445,17255,7479
gene-LOC111999234|LOC111999234,2626,5345,1783,6495,6418
gene-LOC111999284|LOC111999284,7,0,20,7,299
gene-LOC136066631|LOC136066631,107,59,31,52,419
gene-LOC112023014|LOC112023014,20,0,0,0,0
gene-LOC112030635|LOC112030635,132,0,0,106,0
gene-LOC111999244|LOC111999244,9959,5439,24865,10416,831
gene-LOC111999287|LOC111999287,0,0,157,0,33
gene-LOC112035407|LOC112035407,179682,39501,17632,29802,19900
gene-LOC111999261|LOC111999261,5013,4888,2010,3708,503
gene-LOC111999260|LOC111999260,24966,37070,14107,29249,5810
gene-LOC112019983|LOC112019983,22,3,19,12,4
gene-LOC112018562|LOC112018562,4310,4816,2670,3475,1336
gene-LOC112018552|LOC112018552,7,21,8,38,9
gene-LOC112032115|LOC112032115,4665,4896,1058,6338,1527
gene-LOC112031110|LOC112031110,82,178,8,244,18
gene-LOC112032083|LOC112032083,25479,12844,9449,25437,12050
gene-LOC136066643|LOC136066643,18858,8555,6407,17219,7226
gene-LOC112036617|LOC112036617,14369,17533,6278,13604,2479
gene-LOC112036619|LOC112036619,3588,6686,1800,2228,32
